Movie Title,Movie Year,Runtime,Genre,Rating,Director,Votes,gross
Ginger Snaps,2000,108,Drama Fantasy Horror,6.8,John Fawcett,49563,0
Marrowbone,2017,110,Adventure Drama Horror,6.7,Sergio G. Sánchez,35303,0
The Oxford Murders,2008,108,Crime Horror Mystery,6.1,Álex de la Iglesia,29932,0
I Spit on Your Grave 2,2013,106,Horror Thriller,5.7,Steven R. Monroe,31209,0
The Autopsy of Jane Doe,2016,86,Horror Mystery Thriller,6.8,André Øvredal,127065,0.01
Eden Lake,2008,91,Horror Thriller,6.7,James Watkins,89408,0.01
13 Sins,2014,93,Horror Thriller,6.3,Daniel Stamm,37811,0.01
Rogue,2007,99,Action Drama Horror,6.2,Greg McLean,32128,0.01
Honeymoon,2014,87,Drama Fantasy Horror,5.7,Leigh Janiak,26685,0.01
[REC] 3: Genesis,2012,80,Horror Thriller,5,Paco Plaza,36765,0.01
Better Watch Out II,2016,89,Comedy Horror Thriller,6.5,Chris Peckover,42119,0.02
Black Death,2010,102,Action Drama History,6.4,Christopher Smith,49744,0.02
Stake Land,2010,98,Drama Horror Sci-Fi,6.4,Jim Mickle,43421,0.02
Maniac,2012,89,Horror Thriller,6.1,Franck Khalfoun,39045,0.02
V/H/S/2,2013,96,Horror Sci-Fi,6,Simon Barrett,41967,0.02
The Divide,2011,112,Drama Horror Sci-Fi,5.8,Xavier Gens,37690,0.02
The Last Days on Mars,2013,98,Adventure Horror Sci-Fi,5.5,Ruairi Robinson,38026,0.02
Vanishing on 7th Street,2010,92,Horror Mystery Thriller,4.9,Brad Anderson,26800,0.02
Under the Shadow,2016,84,Drama Fantasy Horror,6.8,Babak Anvari,28891,0.03
[Rec]²,2009,85,Horror Thriller,6.5,Jaume Balagueró,75857,0.03
Kill List,2011,95,Action Crime Horror,6.4,Ben Wheatley,42875,0.03
Berlin Syndrome,2017,116,Drama Horror Mystery,6.3,Cate Shortland,26480,0.03
The Bay II,2012,84,Horror Sci-Fi Thriller,5.7,Barry Levinson,28565,0.03
Timecrimes,2007,92,Horror Mystery Sci-Fi,7.1,Nacho Vigalondo,66167,0.04
Sightseers,2012,88,Adventure Comedy Crime,6.5,Ben Wheatley,29544,0.04
Dead Snow,2009,91,Comedy Fantasy Horror,6.3,Tommy Wirkola,68631,0.04
Knock Knock I,2015,99,Crime Drama Horror,4.9,Eli Roth,99384,0.04
Eyes Without a Face,1960,90,Drama Horror,7.6,Georges Franju,33321,0.05
Spring I,2014,109,Horror Romance Sci-Fi,6.7,Justin Benson,29941,0.05
Turbo Kid,2015,93,Action Adventure Comedy,6.7,François Simard,28926,0.05
Feast,2005,95,Action Comedy Horror,6.2,John Gulager,32911,0.05
Regression I,2015,106,Adventure Crime Drama,5.6,Alejandro Amenábar,41510,0.05
The Wicker Man,1973,88,Horror Mystery Thriller,7.5,Robin Hardy,85380,0.06
Clown,2014,100,Horror Thriller,5.7,Jon Watts,25286,0.06
Cooties,2014,88,Action Comedy Horror,5.7,Jonathan Milott,27279,0.06
Tideland,2005,120,Drama Fantasy Horror,6.3,Terry Gilliam,34068,0.07
Peeping Tom,1960,101,Drama Horror Thriller,7.6,Michael Powell,37256,0.08
Byzantium,2012,118,Drama Fantasy Horror,6.5,Neil Jordan,44832,0.08
Tale of Tales,2015,134,Drama Fantasy Horror,6.4,Matteo Garrone,29867,0.08
The Midnight Meat Train,2008,100,Horror Mystery Thriller,6,Ryûhei Kitamura,67602,0.08
Black Sheep,2006,87,Comedy Horror Sci-Fi,5.8,Jonathan King,41390,0.08
The Innkeepers,2011,101,Drama Horror Mystery,5.5,Ti West,36301,0.08
Night of the Living Dead,1968,96,Horror Thriller,7.8,George A. Romero,133452,0.09
The House That Jack Built,2018,152,Crime Drama Horror,6.8,Lars von Trier,83053,0.09
Summer of 84,2018,105,Drama Horror Mystery,6.7,François Simard,43321,0.09
I Spit on Your Grave,2010,108,Horror Thriller,6.2,Steven R. Monroe,88102,0.09
Revenge II,2017,108,Action Drama Horror,6.4,Coralie Fargeat,45825,0.1
The House of the Devil,2009,95,Horror Mystery,6.3,Ti West,49019,0.1
V/H/S,2012,116,Horror,5.8,Matt Bettinelli-Olpin,65385,0.1
Rubber,2010,82,Comedy Fantasy Horror,5.7,Quentin Dupieux,38724,0.1
Pathology,2008,95,Crime Horror Thriller,5.9,Marc Schölermann,32857,0.11
The Human Centipede 2 (Full Sequence),2011,91,Horror,3.8,Tom Six,40950,0.12
I Saw the Devil,2010,144,Action Crime Horror,7.8,Jee-woon Kim,137559,0.13
Ghost Stories I,2017,98,Drama Horror,6.4,Jeremy Dyson,35682,0.14
Repo! The Genetic Opera,2008,98,Horror Musical Sci-Fi,6.4,Darren Lynn Bousman,25810,0.14
Severance,2006,96,Comedy Horror,6.4,Christopher Smith,39807,0.14
John Dies at the End,2012,99,Comedy Fantasy Horror,6.3,Don Coscarelli,39473,0.14
Vampire Hunter D: Bloodlust,2000,103,Animation Action Drama,7.6,Jack Fletcher,33553,0.15
Thelma,2017,116,Drama Fantasy Horror,7,Joachim Trier,34644,0.15
May,2002,93,Comedy Drama Horror,6.6,Lucky McKee,38779,0.15
The Void I,2016,90,Horror Mystery Sci-Fi,5.9,Jeremy Gillespie,39049,0.15
Horns,2013,120,Comedy Crime Drama,6.4,Alexandre Aja,85762,0.16
Hatchet,2006,93,Comedy Horror Thriller,5.6,Adam Green,32231,0.16
The Bad Batch,2016,118,Action Horror Mystery,5.2,Ana Lily Amirpour,33671,0.18
The Human Centipede (First Sequence),2009,92,Horror,4.4,Tom Six,82947,0.18
Maggie I,2015,95,Drama Horror Sci-Fi,5.6,Henry Hobson,45541,0.19
The Witches,2020,106,Adventure Comedy Family,5.4,Robert Zemeckis,43623,0.2
Tucker and Dale vs Evil,2010,89,Comedy Horror,7.5,Eli Craig,186643,0.22
The Invitation I,2015,100,Drama Horror Mystery,6.6,Karyn Kusama,114221,0.23
Braindead,1992,104,Comedy Fantasy Horror,7.5,Peter Jackson,100216,0.24
Troll Hunter,2010,103,Drama Fantasy Horror,6.9,André Øvredal,77389,0.25
Rare Exports,2010,84,Adventure Fantasy Horror,6.6,Jalmari Helander,30491,0.26
The Endless I,2017,111,Drama Fantasy Horror,6.5,Justin Benson,46030,0.27
Thirst,2009,134,Drama Fantasy Horror,7.1,Park Chan-wook,49291,0.3
Fido,2006,93,Comedy Drama Horror,6.7,Andrew Currie,29699,0.3
Ju-on: The Grudge,2002,92,Horror,6.7,Takashi Shimizu,46324,0.33
Teeth I,2007,94,Comedy Fantasy Horror,5.4,Mitchell Lichtenstein,44984,0.35
Session 9,2001,97,Drama Horror Mystery,6.4,Brad Anderson,60761,0.38
Piranha 3DD,2012,83,Comedy Horror Sci-Fi,3.8,John Gulager,44248,0.38
Antichrist,2009,108,Drama Horror Thriller,6.5,Lars von Trier,131305,0.4
Day Watch,2006,132,Action Fantasy Horror,6.4,Timur Bekmambetov,34927,0.45
Cube,1997,90,Drama Horror Mystery,7.1,Vincenzo Natali,239015,0.5
Raw,2016,99,Drama Horror,7,Julia Ducournau,83304,0.51
The Eye,2002,99,Fantasy Horror Mystery,6.6,Danny Pang,29645,0.51
Henry: Portrait of a Serial Killer,1986,83,Biography Crime Drama,7,John McNaughton,38529,0.61
Cronos,1992,94,Drama Fantasy Horror,6.7,Guillermo del Toro,31873,0.62
Freaks,1932,64,Drama Horror,7.8,Tod Browning,48381,0.63
Hobo with a Shotgun,2011,86,Action Comedy Horror,6.1,Jason Eisener,47548,0.7
The Devil's Backbone,2001,106,Drama Horror Thriller,7.4,Guillermo del Toro,68728,0.75
Climax I,2018,97,Drama Horror Music,6.9,Gaspar Noé,73695,0.8
The Babadook,2014,94,Horror Mystery,6.8,Jennifer Kent,234393,0.92
Diary of the Dead,2007,95,Fantasy Horror Sci-Fi,5.5,George A. Romero,48380,0.96
Don't Look Now,1973,110,Drama Horror Mystery,7.1,Nicolas Roeg,58877,0.98
Army of the Dead,2021,148,Action Crime Drama,5.8,Zack Snyder,178772,1
Bhool Bhulaiyaa,2007,159,Comedy Horror Mystery,7.4,Priyadarshan,30282,1.07
Diabolique,1955,117,Crime Drama Horror,8.1,Henri-Georges Clouzot,67456,1.09
Red State,2011,88,Action Crime Horror,6.1,Kevin Smith,65843,1.1
Possession,1981,124,Drama Horror,7.3,Andrzej Zulawski,36874,1.11
The Lords of Salem,2012,101,Horror Thriller,5.2,Rob Zombie,31229,1.16
Goodnight Mommy,2014,99,Horror Mystery Thriller,6.7,Severin Fiala,57113,1.17
Mandy I,2018,121,Action Fantasy Horror,6.5,Panos Cosmatos,83932,1.21
High Life,2018,113,Adventure Drama Horror,5.8,Claire Denis,38180,1.23
Peninsula,2020,116,Action Horror Thriller,5.5,Sang-ho Yeon,35176,1.23
From Beyond,1986,85,Horror Sci-Fi,6.6,Stuart Gordon,28213,1.26
Creature from the Black Lagoon,1954,79,Horror Sci-Fi,6.9,Jack Arnold,32344,1.3
The Neon Demon,2016,117,Horror Thriller,6.1,Nicolas Winding Refn,99889,1.33
Night Watch,2004,114,Action Fantasy Horror,6.4,Timur Bekmambetov,54703,1.49
Take Shelter,2011,120,Drama Horror Sci-Fi,7.3,Jeff Nichols,103846,1.73
Tusk I,2014,102,Comedy Horror,5.3,Kevin Smith,58591,1.82
Only Lovers Left Alive,2013,123,Comedy Drama Fantasy,7.2,Jim Jarmusch,104159,1.88
Shin Godzilla,2016,120,Action Drama Horror,6.8,Hideaki Anno,29845,1.92
King Kong,1933,100,Adventure Horror Sci-Fi,7.9,Merian C. Cooper,88019,10
Cry Wolf,2005,90,Drama Horror Mystery,5.8,Jeff Wadlow,27993,10.05
The Belko Experiment,2016,89,Horror Thriller,6.1,Greg McLean,54266,10.16
House of the Dead,2003,90,Action Adventure Horror,2.1,Uwe Boll,38041,10.25
Pandorum,2009,108,Action Horror Mystery,6.7,Christian Alvart,155042,10.33
The Witches,1990,91,Adventure Comedy Family,6.8,Nicolas Roeg,52433,10.36
Dracula: Dead and Loving It,1995,88,Comedy Fantasy Horror,5.8,Mel Brooks,43600,10.77
Pride and Prejudice and Zombies,2016,108,Action Comedy Fantasy,5.8,Burr Steers,58473,10.91
The Addams Family,2019,86,Animation Comedy Family,5.8,Greg Tiernan,42739,100.04
Sleepy Hollow,1999,105,Fantasy Horror Mystery,7.3,Tim Burton,370303,101.07
Scream 2,1997,120,Horror Mystery,6.3,Wes Craven,197955,101.36
Annabelle: Creation,2017,109,Horror Mystery Thriller,6.5,David F. Sandberg,141513,102.09
The Conjuring 2,2016,134,Horror Mystery Thriller,7.3,James Wan,282543,102.47
The Mummy: Tomb of the Dragon Emperor,2008,112,Action Adventure Fantasy,5.2,Rob Cohen,166078,102.49
Jaws 2,1978,116,Adventure Horror Thriller,5.8,Jeannot Szwarc,80981,102.92
Scream,1996,111,Horror Mystery,7.4,Wes Craven,365136,103.05
Paranormal Activity 3,2011,83,Horror Mystery,5.8,Henry Joost,97454,104.01
Interview with the Vampire: The Vampire Chronicles,1994,123,Drama Fantasy Horror,7.5,Neil Jordan,333084,105.26
Paranormal Activity,2007,86,Horror Mystery,6.3,Oren Peli,247532,107.92
Sleepaway Camp,1983,84,Horror,6.2,Robert Hiltzik,35167,11
Hellbound: Hellraiser II,1988,97,Horror Thriller,6.4,Tony Randel,53253,11.09
Deep Rising,1998,106,Action Adventure Horror,6.1,Stephen Sommers,39064,11.2
Brotherhood of the Wolf,2001,142,Action Adventure Drama,7,Christophe Gans,68793,11.26
The Birds,1963,119,Drama Horror Mystery,7.6,Alfred Hitchcock,196469,11.4
Army of Darkness,1992,81,Comedy Horror,7.4,Sam Raimi,186854,11.5
Lifeforce,1985,101,Action Horror Mystery,6.1,Tobe Hooper,27500,11.6
Halloween 5: The Revenge of Michael Myers,1989,96,Horror Thriller,4.9,Dominique Othenin-Girard,44618,11.64
Sorority Row,2009,101,Horror Mystery,5.1,Stewart Hendler,31640,11.96
Phantasm,1979,89,Horror Sci-Fi,6.6,Don Coscarelli,39050,11.99
The Grudge,2004,91,Horror Mystery Thriller,5.9,Takashi Shimizu,147865,110.36
Glass,2019,129,Drama Horror Sci-Fi,6.6,M. Night Shyamalan,254065,111.05
The Nun,2018,96,Horror Mystery Thriller,5.3,Corin Hardy,148299,117.45
The Gift,2000,111,Drama Fantasy Horror,6.7,Sam Raimi,72059,12.01
Let Me In I,2010,116,Drama Fantasy Horror,7.1,Matt Reeves,124539,12.13
Hellraiser III: Hell on Earth,1992,97,Horror,5.5,Anthony Hickox,33318,12.53
House of 1000 Corpses,2003,89,Horror,6,Rob Zombie,89420,12.63
The Collection II,2012,82,Action Adventure Horror,6.1,Marcus Dunstan,51960,12.84
Nope,2022,130,Horror Mystery Sci-Fi,6.8,Jordan Peele,232097,123.28
The Ring,2002,115,Horror Mystery,7.1,Gore Verbinski,360824,129.13
They Live,1988,94,Action Horror Sci-Fi,7.2,John Carpenter,136510,13.01
Cat's Eye,1985,94,Comedy Horror Thriller,6.3,Lewis Teague,26850,13.09
Jason X,2001,92,Action Horror Sci-Fi,4.4,James Isaac,58799,13.12
Critters,1986,86,Comedy Horror Sci-Fi,6.1,Stephen Herek,37388,13.17
Case 39,2009,109,Horror Mystery Thriller,6.2,Christian Alvart,90324,13.25
Shaun of the Dead,2004,99,Comedy Horror,7.9,Edgar Wright,572237,13.54
The Thing,1982,109,Horror Mystery Sci-Fi,8.2,John Carpenter,439793,13.78
It Comes at Night,2017,91,Drama Horror Mystery,6.2,Trey Edward Shults,98054,13.99
The Conjuring,2013,112,Horror Mystery Thriller,7.5,James Wan,526164,137.4
Split IX,2016,117,Horror Thriller,7.3,M. Night Shyamalan,519308,138.29
The Rocky Horror Picture Show,1975,100,Comedy Horror Musical,7.4,Jim Sharman,158254,139.88
Creepshow 2,1987,92,Fantasy Horror,6,Michael Gornick,27039,14
Virus,1999,99,Action Horror Sci-Fi,5,John Bruno,29017,14.01
Prince of Darkness,1987,102,Horror,6.6,John Carpenter,47009,14.18
Scanners,1981,103,Horror Sci-Fi Thriller,6.7,David Cronenberg,58736,14.23
The Return of the Living Dead,1985,91,Comedy Horror Sci-Fi,7.3,Dan O'Bannon,64592,14.24
